# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
grandmaster's generalist trophy journal (partially full)	T7_JOURNAL_TROPHY_GENERAL
grandmaster's ghastly arrows	T7_ARTEFACT_2H_LONGBOW_UNDEAD
grandmaster's ghastly bindings	T7_ARTEFACT_SHOES_LEATHER_UNDEAD
grandmaster's ghastly blades	T7_ARTEFACT_2H_DUALSICKLE_UNDEAD
grandmaster's ghastly candle	T7_ARTEFACT_OFF_LAMP_UNDEAD
grandmaster's ghastly leather	T7_ARTEFACT_ARMOR_LEATHER_UNDEAD
grandmaster's ghastly scroll	T7_ARTEFACT_2H_HOLYSTAFF_UNDEAD
grandmaster's ghastly visor	T7_ARTEFACT_HEAD_LEATHER_UNDEAD
grandmaster's glacial staff	T7_2H_GLACIALSTAFF
grandmaster's glaive	T7_2H_GLAIVE
grandmaster's glowing harmonic ring	T7_ARTEFACT_2H_FIRE_RINGPAIR_AVALON
grandmaster's grailseeker	T7_2H_QUARTERSTAFF_AVALON
grandmaster's graveguard armor	T7_ARMOR_PLATE_UNDEAD
grandmaster's graveguard boots	T7_SHOES_PLATE_UNDEAD
grandmaster's graveguard helmet	T7_HEAD_PLATE_UNDEAD
grandmaster's great arcane staff	T7_2H_ARCANESTAFF
grandmaster's great cursed staff	T7_2H_CURSEDSTAFF
grandmaster's great fire staff	T7_2H_FIRESTAFF
grandmaster's great frost staff	T7_2H_FROSTSTAFF
grandmaster's great hammer	T7_2H_HAMMER
grandmaster's great holy staff	T7_2H_HOLYSTAFF
grandmaster's great nature staff	T7_2H_NATURESTAFF
grandmaster's greataxe	T7_2H_AXE
grandmaster's griffin underfur	T7_ARTEFACT_SHOES_LEATHER_FEY
grandmaster's grovekeeper	T7_2H_RAM_KEEPER
grandmaster's guardian armor	T7_ARMOR_PLATE_SET3
grandmaster's guardian boots	T7_SHOES_PLATE_SET3
grandmaster's guardian helmet	T7_HEAD_PLATE_SET3
grandmaster's halberd	T7_2H_HALBERD
grandmaster's hallowfall	T7_MAIN_HOLYSTAFF_AVALON
grandmaster's hammer	T7_MAIN_HAMMER
grandmaster's hand of justice	T7_2H_HAMMER_AVALON
grandmaster's hardened debole	T7_ARTEFACT_MAIN_RAPIER_MORGANA
grandmaster's harvester backpack	T7_BACKPACK_GATHERER_FIBER
grandmaster's harvester cap	T7_HEAD_GATHERER_FIBER
grandmaster's harvester garb	T7_ARMOR_GATHERER_FIBER
grandmaster's harvester workboots	T7_SHOES_GATHERER_FIBER
grandmaster's heavy crossbow	T7_2H_CROSSBOWLARGE
grandmaster's heavy mace	T7_2H_MACE
grandmaster's hellfire hands	T7_2H_KNUCKLES_HELL
grandmaster's hellfire imp remnant	T7_ARTEFACT_2H_SHAPESHIFTER_HELL
grandmaster's hellgate ritual (5v5 - lethal)	T7_HELLGATE_5V5_LETHAL_1_MAP
grandmaster's hellion hood	T7_HEAD_LEATHER_HELL
grandmaster's hellion jacket	T7_ARMOR_LEATHER_HELL
grandmaster's hellion shoes	T7_SHOES_LEATHER_HELL
grandmaster's hellish bolts	T7_ARTEFACT_2H_DUALCROSSBOW_HELL
grandmaster's hellish hammer heads	T7_ARTEFACT_2H_DUALHAMMER_HELL
grandmaster's hellish handle	T7_ARTEFACT_OFF_JESTERCANE_HELL
grandmaster's hellish sicklehead	T7_ARTEFACT_2H_SCYTHE_HELL
grandmaster's hellish sicklehead pair	T7_ARTEFACT_2H_TWINSCYTHE_HELL
grandmaster's hellspawn staff	T7_2H_SHAPESHIFTER_HELL
grandmaster's helmet of valor	T7_HEAD_PLATE_AVALON
grandmaster's heraldic warhorse	SKIN_ARMORED_HORSE_T7_MOUNT_GUILD
grandmaster's heretic cape	T7_CAPEITEM_HERETIC
grandmaster's heretic crest	T7_CAPEITEM_HERETIC_BP
grandmaster's heron spear	T7_MAIN_SPEAR_KEEPER
grandmaster's hoarfrost orb	T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER
grandmaster's hoarfrost staff	T7_MAIN_FROSTSTAFF_KEEPER
grandmaster's holy staff	T7_MAIN_HOLYSTAFF
grandmaster's hood of tenacity	T7_HEAD_LEATHER_AVALON
grandmaster's horse	T7_FARM_HORSE_GROWN
grandmaster's humming avalonian whirligig	T7_ARTEFACT_2H_CROSSBOW_CANNON_AVALON
grandmaster's hunter hood	T7_HEAD_LEATHER_SET2
grandmaster's hunter jacket	T7_ARMOR_LEATHER_SET2
grandmaster's hunter shoes	T7_SHOES_LEATHER_SET2
grandmaster's hypnotic harmonic ring	T7_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON
grandmaster's icicle orb	T7_ARTEFACT_2H_ICEGAUNTLETS_HELL
grandmaster's icicle staff	T7_2H_ICEGAUNTLETS_HELL
grandmaster's icy crystal	T7_ARTEFACT_2H_FROSTSTAFF_CRYSTAL
grandmaster's imbued leather folds	T7_ARTEFACT_ARMOR_LEATHER_MORGANA
grandmaster's imbued mace head	T7_ARTEFACT_2H_MACE_MORGANA
grandmaster's imbued soles	T7_ARTEFACT_SHOES_LEATHER_MORGANA
grandmaster's imbued visor	T7_ARTEFACT_HEAD_LEATHER_MORGANA
grandmaster's immaculately crafted riser	T7_ARTEFACT_2H_BOW_AVALON
grandmaster's incubus mace	T7_MAIN_MACE_HELL
grandmaster's infernal cloth bindings	T7_ARTEFACT_SHOES_CLOTH_HELL
grandmaster's infernal cloth folds	T7_ARTEFACT_ARMOR_CLOTH_HELL
grandmaster's infernal cloth visor	T7_ARTEFACT_HEAD_CLOTH_HELL
grandmaster's infernal harpoon tip	T7_ARTEFACT_2H_HARPOON_HELL
grandmaster's infernal mace head	T7_ARTEFACT_MAIN_MACE_HELL
grandmaster's infernal scroll	T7_ARTEFACT_2H_HOLYSTAFF_HELL
grandmaster's infernal scythe	T7_2H_SCYTHE_HELL
grandmaster's infernal shield core	T7_ARTEFACT_OFF_SHIELD_HELL
grandmaster's infernal staff	T7_2H_INFERNOSTAFF
grandmaster's infinite crystal	T7_ARTEFACT_MAIN_SWORD_CRYSTAL
grandmaster's infinity blade	T7_MAIN_SWORD_CRYSTAL
grandmaster's inscribed bindings	T7_ARTEFACT_SHOES_PLATE_KEEPER
grandmaster's inscribed stone	T7_ARTEFACT_OFF_TOTEM_KEEPER
grandmaster's intact fey fibula	T7_ARTEFACT_HEAD_CLOTH_FEY
grandmaster's iron-clad staff	T7_2H_IRONCLADEDSTAFF
grandmaster's ironroot staff	T7_MAIN_NATURESTAFF_AVALON
grandmaster's jacket of tenacity	T7_ARMOR_LEATHER_AVALON
grandmaster's judicator armor	T7_ARMOR_PLATE_KEEPER
grandmaster's judicator boots	T7_SHOES_PLATE_KEEPER
grandmaster's judicator helmet	T7_HEAD_PLATE_KEEPER
grandmaster's keeper axeheads	T7_ARTEFACT_2H_DUALAXE_KEEPER
grandmaster's keeper cape	T7_CAPEITEM_KEEPER
grandmaster's keeper crest	T7_CAPEITEM_KEEPER_BP
grandmaster's keeper spearhead	T7_ARTEFACT_MAIN_SPEAR_KEEPER
grandmaster's kingmaker	T7_2H_CLAYMORE_AVALON
grandmaster's knight armor	T7_ARMOR_PLATE_SET2
grandmaster's knight boots	T7_SHOES_PLATE_SET2
grandmaster's knight helmet	T7_HEAD_PLATE_SET2
grandmaster's knight's vow	T7_GVGSEASONREWARD_FAMEBUFF
grandmaster's leering cane	T7_OFF_JESTERCANE_HELL
grandmaster's lifecurse staff	T7_MAIN_CURSEDSTAFF_UNDEAD
grandmaster's lifetouch staff	T7_MAIN_HOLYSTAFF_MORGANA
grandmaster's light crossbow	T7_MAIN_1HCROSSBOW
grandmaster's lightcaller	T7_2H_SHAPESHIFTER_AVALON
grandmaster's longbow	T7_2H_LONGBOW
grandmaster's lost arcane crystal	T7_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD
grandmaster's lost crossbow mechanism	T7_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD
grandmaster's lost cursed crystal	T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD
grandmaster's lumberjack backpack	T7_BACKPACK_GATHERER_WOOD
grandmaster's lumberjack cap	T7_HEAD_GATHERER_WOOD
grandmaster's lumberjack garb	T7_ARMOR_GATHERER_WOOD
grandmaster's lumberjack workboots	T7_SHOES_GATHERER_WOOD
grandmaster's lymhurst cape	T7_CAPEITEM_FW_LYMHURST
grandmaster's lymhurst crest	T7_CAPEITEM_FW_LYMHURST_BP
grandmaster's mace	T7_MAIN_MACE
grandmaster's mage cowl	T7_HEAD_CLOTH_SET3
grandmaster's mage robe	T7_ARMOR_CLOTH_SET3
grandmaster's mage sandals	T7_SHOES_CLOTH_SET3
grandmaster's malevolent locus	T7_2H_ENIGMATICORB_MORGANA
grandmaster's martlock cape	T7_CAPEITEM_FW_MARTLOCK
grandmaster's martlock crest	T7_CAPEITEM_FW_MARTLOCK_BP
grandmaster's massive metallic hand	T7_ARTEFACT_2H_HAMMER_AVALON
grandmaster's mercenary hood	T7_HEAD_LEATHER_SET1
grandmaster's mercenary jacket	T7_ARMOR_LEATHER_SET1
grandmaster's mercenary shoes	T7_SHOES_LEATHER_SET1
grandmaster's messianic curio	T7_ARTEFACT_MAIN_HOLYSTAFF_AVALON
grandmaster's miner backpack	T7_BACKPACK_GATHERER_ORE
grandmaster's miner cap	T7_HEAD_GATHERER_ORE
grandmaster's miner garb	T7_ARMOR_GATHERER_ORE
grandmaster's miner workboots	T7_SHOES_GATHERER_ORE
grandmaster's mirage crystal	T7_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL
grandmaster's mistcaller	T7_OFF_HORN_KEEPER
grandmaster's mistpiercer	T7_2H_BOW_AVALON
grandmaster's mistwalker hood	T7_HEAD_LEATHER_FEY
grandmaster's mistwalker jacket	T7_ARMOR_LEATHER_FEY
grandmaster's mistwalker shoes	T7_SHOES_LEATHER_FEY
grandmaster's morgana cape	T7_CAPEITEM_MORGANA
grandmaster's morgana crest	T7_CAPEITEM_MORGANA_BP
grandmaster's morgana halberd head	T7_ARTEFACT_2H_HALBERD_MORGANA
grandmaster's morning star	T7_2H_FLAIL
grandmaster's muisak	T7_OFF_DEMONSKULL_HELL
grandmaster's nature staff	T7_MAIN_NATURESTAFF
grandmaster's oathkeepers	T7_2H_DUALMACE_AVALON
grandmaster's occult orb	T7_ARTEFACT_2H_ARCANESTAFF_HELL
grandmaster's occult staff	T7_2H_ARCANESTAFF_HELL
grandmaster's ox	T7_FARM_OX_GROWN
grandmaster's ox calf	T7_FARM_OX_BABY
grandmaster's permafrost prism	T7_2H_ICECRYSTAL_UNDEAD
grandmaster's phantom twinblade	T7_2H_DOUBLEBLADEDSTAFF_CRYSTAL
grandmaster's pickaxe	T7_2H_TOOL_PICK
grandmaster's pike	T7_2H_SPEAR
grandmaster's polehammer	T7_2H_POLEHAMMER
grandmaster's possessed catalyst	T7_ARTEFACT_2H_ENIGMATICORB_MORGANA
grandmaster's possessed scroll	T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA
grandmaster's preserved animal fur	T7_ARTEFACT_ARMOR_PLATE_KEEPER
grandmaster's preserved log	T7_ARTEFACT_2H_NATURESTAFF_KEEPER
grandmaster's preserved rocks	T7_ARTEFACT_2H_ROCKSTAFF_KEEPER
grandmaster's primal staff	T7_2H_SHAPESHIFTER_SET3
grandmaster's prowling staff	T7_2H_SHAPESHIFTER_SET1
grandmaster's pulsating crystal	T7_ARTEFACT_2H_KNUCKLES_CRYSTAL
grandmaster's pyreheart crystal	T7_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL
grandmaster's quarrier backpack	T7_BACKPACK_GATHERER_ROCK
grandmaster's quarrier cap	T7_HEAD_GATHERER_ROCK
grandmaster's quarrier garb	T7_ARMOR_GATHERER_ROCK
grandmaster's quarrier workboots	T7_SHOES_GATHERER_ROCK
grandmaster's quarterstaff	T7_2H_QUARTERSTAFF
grandmaster's rampant staff	T7_2H_NATURESTAFF_KEEPER
grandmaster's ravenstrike cestus	T7_2H_KNUCKLES_MORGANA
grandmaster's realmbreaker	T7_2H_AXE_AVALON
grandmaster's redemption staff	T7_2H_HOLYSTAFF_UNDEAD
grandmaster's reinforced morgana pole	T7_ARTEFACT_2H_COMBATSTAFF_MORGANA
grandmaster's relic	T7_RELIC
grandmaster's remnants of the old king	T7_ARTEFACT_2H_CLAYMORE_AVALON
grandmaster's repair kit	T7_FURNITUREITEM_REPAIRKIT
grandmaster's riding horse	T7_MOUNT_HORSE
grandmaster's rift crystal	T7_ARTEFACT_2H_GLAIVE_CRYSTAL
grandmaster's rift glaive	T7_2H_GLAIVE_CRYSTAL
grandmaster's robe of purity	T7_ARMOR_CLOTH_AVALON
grandmaster's rootbound staff	T7_2H_SHAPESHIFTER_SET2
grandmaster's rotcaller staff	T7_MAIN_CURSEDSTAFF_CRYSTAL
grandmaster's rotten crystal	T7_ARTEFACT_MAIN_CURSEDSTAFF_CRYSTAL
grandmaster's royal armor	T7_ARMOR_PLATE_ROYAL
grandmaster's royal boots	T7_SHOES_PLATE_ROYAL
grandmaster's royal cowl	T7_HEAD_CLOTH_ROYAL
grandmaster's royal helmet	T7_HEAD_PLATE_ROYAL
grandmaster's royal hood	T7_HEAD_LEATHER_ROYAL
grandmaster's royal jacket	T7_ARMOR_LEATHER_ROYAL
grandmaster's royal robe	T7_ARMOR_CLOTH_ROYAL
grandmaster's royal sandals	T7_SHOES_CLOTH_ROYAL
grandmaster's royal shoes	T7_SHOES_LEATHER_ROYAL
grandmaster's royal sigil	QUESTITEM_TOKEN_ROYAL_T7
grandmaster's ruined ancestral vamplate	T7_ARTEFACT_MAIN_SPEAR_LANCE_AVALON
grandmaster's rune	T7_RUNE
grandmaster's runed horn	T7_ARTEFACT_OFF_HORN_KEEPER
grandmaster's runed rock	T7_ARTEFACT_MAIN_ROCKMACE_KEEPER
grandmaster's runestone golem remnant	T7_ARTEFACT_2H_SHAPESHIFTER_KEEPER
grandmaster's sacred scepter	T7_OFF_TALISMAN_AVALON
grandmaster's sanctified belt	T7_ARTEFACT_ARMOR_CLOTH_AVALON
grandmaster's sanctified bindings	T7_ARTEFACT_SHOES_CLOTH_AVALON
grandmaster's sanctified mask	T7_ARTEFACT_HEAD_CLOTH_AVALON
grandmaster's sandals of purity	T7_SHOES_CLOTH_AVALON
grandmaster's sarcophagus	T7_OFF_TOWERSHIELD_UNDEAD
grandmaster's satchel of insight	T7_BAG_INSIGHT
grandmaster's scholar cowl	T7_HEAD_CLOTH_SET1
grandmaster's scholar robe	T7_ARMOR_CLOTH_SET1
grandmaster's scholar sandals	T7_SHOES_CLOTH_SET1
grandmaster's serpent crystal	T7_ARTEFACT_2H_SHAPESHIFTER_CRYSTAL
grandmaster's severed celestial keepsake	T7_ARTEFACT_OFF_CENSER_AVALON
grandmaster's severed demonic horns	T7_ARTEFACT_2H_KNUCKLES_HELL
grandmaster's shadowcaller	T7_MAIN_CURSEDSTAFF_AVALON
grandmaster's shattered avalonian memento	T7_ARTEFACT_OFF_TALISMAN_AVALON
grandmaster's shield	T7_OFF_SHIELD
grandmaster's shoes of tenacity	T7_SHOES_LEATHER_AVALON
grandmaster's sickle	T7_2H_TOOL_SICKLE
grandmaster's siege banner	T7_SIEGE_BANNER
grandmaster's siege hammer	T7_2H_TOOL_SIEGEHAMMER
grandmaster's siegebow	T7_2H_CROSSBOWLARGE_MORGANA
grandmaster's skinner backpack	T7_BACKPACK_GATHERER_HIDE
grandmaster's skinner cap	T7_HEAD_GATHERER_HIDE
grandmaster's skinner garb	T7_ARMOR_GATHERER_HIDE
grandmaster's skinner workboots	T7_SHOES_GATHERER_HIDE
grandmaster's skinning knife	T7_2H_TOOL_KNIFE
grandmaster's skystrider bow	T7_2H_BOW_CRYSTAL
grandmaster's smuggler cape	T7_CAPEITEM_SMUGGLER
grandmaster's smuggler crest	T7_CAPEITEM_SMUGGLER_BP
grandmaster's soldier armor	T7_ARMOR_PLATE_SET1
grandmaster's soldier boots	T7_SHOES_PLATE_SET1
grandmaster's soldier helmet	T7_HEAD_PLATE_SET1
grandmaster's soul	T7_SOUL
grandmaster's soulscythe	T7_2H_TWINSCYTHE_HELL
grandmaster's spear	T7_MAIN_SPEAR
grandmaster's specter hood	T7_HEAD_LEATHER_UNDEAD
grandmaster's specter jacket	T7_ARMOR_LEATHER_UNDEAD
grandmaster's specter shoes	T7_SHOES_LEATHER_UNDEAD
grandmaster's spiked gauntlets	T7_2H_KNUCKLES_SET3
grandmaster's spirithunter	T7_2H_HARPOON_HELL
grandmaster's staff of balance	T7_2H_ROCKSTAFF_KEEPER
grandmaster's stalker hood	T7_HEAD_LEATHER_MORGANA
grandmaster's stalker jacket	T7_ARMOR_LEATHER_MORGANA
grandmaster's stalker shoes	T7_SHOES_LEATHER_MORGANA
grandmaster's startouched crystal	T7_ARTEFACT_2H_ARCANESTAFF_CRYSTAL
grandmaster's stillgaze staff	T7_2H_SHAPESHIFTER_CRYSTAL
grandmaster's stone hammer	T7_2H_TOOL_HAMMER
grandmaster's symbol of blight	T7_ARTEFACT_2H_NATURESTAFF_HELL
grandmaster's table	T7_FURNITUREITEM_TABLE
grandmaster's taproot	T7_OFF_TOTEM_KEEPER
grandmaster's thetford cape	T7_CAPEITEM_FW_THETFORD
grandmaster's thetford crest	T7_CAPEITEM_FW_THETFORD_BP
grandmaster's timelocked crystal	T7_ARTEFACT_OFF_TOME_CRYSTAL
grandmaster's timelocked grimoire	T7_OFF_TOME_CRYSTAL
grandmaster's timeworn walking staff	T7_ARTEFACT_2H_QUARTERSTAFF_AVALON
grandmaster's tombhammer	T7_2H_HAMMER_UNDEAD
grandmaster's tome of insight	T7_SKILLBOOK_NONTRADABLE
grandmaster's tome of learning	T7_LEARNINGPOINTS_NONTRADABLE
grandmaster's tome of spells	T7_OFF_BOOK
grandmaster's torch	T7_OFF_TORCH
grandmaster's tracking toolkit	T7_2H_TOOL_TRACKING
grandmaster's transport ox	T7_MOUNT_OX
grandmaster's trinity spear	T7_2H_TRIDENT_UNDEAD
grandmaster's truebolt hammer	T7_2H_HAMMER_CRYSTAL
grandmaster's twin slayers	T7_2H_DAGGERPAIR_CRYSTAL
grandmaster's unbreakable crystal	T7_ARTEFACT_OFF_SHIELD_CRYSTAL
grandmaster's unbreakable ward	T7_OFF_SHIELD_CRYSTAL
grandmaster's undead cape	T7_CAPEITEM_UNDEAD
grandmaster's undead crest	T7_CAPEITEM_UNDEAD_BP
grandmaster's unholy scroll	T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA
grandmaster's untarnished griffin feathers	T7_ARTEFACT_ARMOR_LEATHER_FEY
grandmaster's uprooted perennial sapling	T7_ARTEFACT_MAIN_NATURESTAFF_AVALON
grandmaster's ursine guardian remains	T7_ARTEFACT_2H_KNUCKLES_KEEPER
grandmaster's ursine maulers	T7_2H_KNUCKLES_KEEPER
grandmaster's veilweaver carapace	T7_ARTEFACT_ARMOR_PLATE_FEY
grandmaster's veilweaver claws	T7_ARTEFACT_SHOES_PLATE_FEY
grandmaster's veilweaver mandibles	T7_ARTEFACT_HEAD_PLATE_FEY
grandmaster's wailing bow	T7_2H_BOW_HELL
grandmaster's warbow	T7_2H_WARBOW
grandmaster's warhorse	T7_MOUNT_ARMORED_HORSE_SKIN_01
grandmaster's warped raven plate	T7_ARTEFACT_2H_KNUCKLES_MORGANA
grandmaster's weeping repeater	T7_2H_REPEATINGCROSSBOW_UNDEAD
grandmaster's werewolf remnant	T7_ARTEFACT_2H_SHAPESHIFTER_MORGANA
grandmaster's whispering bow	T7_2H_LONGBOW_UNDEAD
grandmaster's wild staff	T7_2H_WILDSTAFF
grandmaster's wildfire orb	T7_ARTEFACT_MAIN_FIRESTAFF_KEEPER
grandmaster's wildfire staff	T7_MAIN_FIRESTAFF_KEEPER
grandmaster's windborne crystal	T7_ARTEFACT_2H_BOW_CRYSTAL
grandmaster's witchwork staff	T7_MAIN_ARCANESTAFF_UNDEAD
granite	T5_ROCK
granite block	T5_STONEBLOCK
granite fragment	T5_FURNITUREITEM_TROPHY_ROCK
green chimera	SKIN_HORSE_QUESTING_BEAST_GREEN
green knight's armor	UNIQUE_ARMOR_VANITY_KNIGHT_GREEN
green knight's armored horse	SKIN_ARMORED_HORSE_KNIGHT_GREEN
green knight's boots	UNIQUE_SHOES_VANITY_KNIGHT_GREEN
green knight's cape	UNIQUE_CAPE_VANITY_KNIGHT_GREEN
green knight's helmet	UNIQUE_HEAD_VANITY_KNIGHT_GREEN
green navigator's boots	UNIQUE_SHOES_VANITY_PIRATE_GREEN
green navigator's coat	UNIQUE_ARMOR_VANITY_PIRATE_GREEN
green navigator's hat	UNIQUE_HEAD_VANITY_PIRATE_GREEN
green princess dress	UNIQUE_ARMOR_VANITY_DRESS_GREEN
green princess hat	UNIQUE_HEAD_VANITY_DRESS_GREEN
green princess shoes	UNIQUE_SHOES_VANITY_DRESS_GREEN
greenmoor clam	T3_FISH_FRESHWATER_SWAMP_RARE
greenmoor clam soup	T1_MEAL_SOUP_FISH
greenriver eel	T3_FISH_FRESHWATER_FOREST_RARE
greenriver eel stew	T4_MEAL_STEW_FISH
grilled fish	T1_MEAL_GRILLEDFISH
grim challenge chest	UNIQUE_LOOTCHEST_ADC_NOV2018
grim gravestone	UNIQUE_FURNITUREITEM_ADC_GRIM_HEADSTONE
grim lantern	UNIQUE_FURNITUREITEM_ADC_GRIM_LANTERN
grinning pumpkin head	UNIQUE_HEAD_VANITY_PUMPKIN_01
grizzly bear	UNIQUE_MOUNT_BEAR_KEEPER_ADC
groom's cape	UNIQUE_CAPE_VANITY_WEDDING_TUXEDO
groom's hat	UNIQUE_HEAD_VANITY_WEDDING_TUXEDO
groom's shoes	UNIQUE_SHOES_VANITY_WEDDING_TUXEDO
groom's suit	UNIQUE_ARMOR_VANITY_WEDDING_TUXEDO
grump-o'-lantern	UNIQUE_OFF_VANITY_PUMPKIN_ANGRY
guild avatar	UNIQUE_AVATAR_AJ_GUILD_01
guild avatar ring	UNIQUE_AVATARRING_AJ_GUILD_01
guild banner on fabric	T2_FURNITUREITEM_GUILDBANNER_FABRIC
guild banner on shield	T2_FURNITUREITEM_GUILDBANNER_SHIELD
guild banner victory emote charge	T1_KILL_EMOTE_FLAG_CHARGES_NONTRADABLE
guild season 2nd place	SKIN_DIREWOLF_GVGSEASON_2ND_01
guild season 3rd place	SKIN_DIREWOLF_GVGSEASON_3RD_01
guild season winner	SKIN_DIREWOLF_GVGSEASON_1ST_01
halloween cauldron	UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_CAULDRON_A
halloween lantern	UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_TREE_LANTERN_A
halloween pyre	UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_SCARECROW_PYRE_A
halloween scarecrow	UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_SCARECROW_A
hammer victory emote charge	T1_KILL_EMOTE_HAMMER_CHARGES_NONTRADABLE
harbinger's boots	UNIQUE_SHOES_VANITY_DARK_SORCERER
harbinger's crown	UNIQUE_HEAD_VANITY_DARK_SORCERER
harbinger's robes	UNIQUE_ARMOR_VANITY_DARK_SORCERER
harbinger's staff and cape	UNIQUE_CAPE_VANITY_DARK_SORCERER
hardened leather	T6_LEATHER
harvest challenge chest	UNIQUE_LOOTCHEST_ADC_OCT2018_01
haystack	PLAYERISLAND_FURNITUREITEM_FARM_DECO_B
haystack and cart	PLAYERISLAND_FURNITUREITEM_FARM_DECO_C
healing potion	T4_POTION_HEAL
heavy hide	T5_HIDE
hell mare	SKIN_HORSE_HELL
hellfire potion	T6_POTION_LAVA
hellgate victory emote charge	T1_KILL_EMOTE_HELLGATE_CHARGES_NONTRADABLE
hellspinner	T5_MOUNT_SPIDER_HELL
hellspinner baby	T5_FARM_SPIDER_HELL_BABY
hemp	T4_FIBER
hen eggs	T3_EGG
heraldic guidon	UNIQUE_VANITY_2H_BANNER_GUIDON_AJ
heraldic jousting horse	SKIN_ARMORED_HORSE_JOUSTING_GUILD_AJ
heretic animal cages	UNIQUE_FURNITUREITEM_HERETIC_ANIMAL_CAGES
heretic burning barrel	UNIQUE_FURNITUREITEM_HERETIC_BARREL_BURNING_A
heretic cart	SKIN_OX_CART_HERETIC
heretic challenge chest	UNIQUE_LOOTCHEST_ADC_SEP2019
heretic chief's table	UNIQUE_FURNITUREITEM_HERETIC_PLANNING_TABLE
heretic combat mule	UNIQUE_MOUNT_HERETIC_MULE_ADC
heretic flag	UNIQUE_FURNITUREITEM_HERETIC_FLAG
heretic food stash	UNIQUE_FURNITUREITEM_HERETIC_FOOD_PILE
heretic game table	UNIQUE_FURNITUREITEM_HERETIC_GAME_TABLE
heretic junkpile	UNIQUE_FURNITUREITEM_HERETIC_JUNKPILE
heretic lantern	UNIQUE_FURNITUREITEM_HERETIC_LANTERN
heretic palisade	UNIQUE_FURNITUREITEM_HERETIC_PALLISADE
heretic scarecrow	UNIQUE_FURNITUREITEM_HERETIC_CONSTRUCT
heretic stove	UNIQUE_FURNITUREITEM_HERETIC_STOVE_A
heretic tent	UNIQUE_FURNITUREITEM_HERETIC_TENT
heretic toolboard	UNIQUE_FURNITUREITEM_HERETICS_TOOL_BOARD_A
heretic training dummy	UNIQUE_FURNITUREITEM_HERETIC_TRAINING_DUMMY
heretic warsteed	SKIN_ARMORED_HORSE_HERETIC_PONY_TELLAFRIEND
heretic weapon rack	UNIQUE_FURNITUREITEM_HERETIC_WEAPON_RACK
hide cape	UNIQUE_HEAD_VANITY_NO_CAPE
hide helmet	UNIQUE_HEAD_VANITY_NO_HELMET
hide main hand	UNIQUE_HEAD_VANITY_NO_MAIN_HAND
hide off-hand	UNIQUE_HEAD_VANITY_NO_OFF_HAND
hideout construction kit	UNIQUE_HIDEOUT
holy fetish	TREASURE_TRIBAL_RARITY3
homesteader's avatar	UNIQUE_AVATAR_AJ_FARMER_01
homesteader's avatar ring	UNIQUE_AVATARRING_AJ_FARMER_01
horse macabre	SKIN_HORSE_UNDEAD_HALLOWEEN
horsferatu	SKIN_HORSE_VAMPIRE_TELLAFRIEND
hunter challenge chest	UNIQUE_LOOTCHEST_ADC_APR2019
hunter statue	PLAYERISLAND_FURNITUREITEM_STONE_STATUE_HUNTER_B
hunting sculpture	PLAYERISLAND_FURNITUREITEM_STONE_STATUE_HUNTER_A
hyena cape	UNIQUE_CAPE_VANITY_HYENA
hygienic boots	UNIQUE_SHOES_VANITY_PLAGUEDOC
hygienic coat	UNIQUE_ARMOR_VANITY_PLAGUEDOC
hygienic mask	UNIQUE_HEAD_VANITY_PLAGUEDOC
ice sculpture: bonecrusher berserker	UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_A
ice sculpture: cursed archer	UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_B
ice sculpture: obsessed cultist	UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_C
icosahedron of fate	UNIQUE_VANITY_MAIN_DICE_TWENTYSIDED_AJ
infernal horseshoes	T8_MOUNTUPGRADE_HORSE_MORGANA
infernal memento	UNIQUE_FURNITUREITEM_KILLTROPHY_HELL_MEDIUM
innkeeper's beer mug	UNIQUE_OFF_VANITY_INNKEEPER
innkeeper's hat	UNIQUE_HEAD_VANITY_INNKEEPER
innkeeper's shirt	UNIQUE_ARMOR_VANITY_INNKEEPER
innkeeper's shoes	UNIQUE_SHOES_VANITY_INNKEEPER
invisibility potion	T8_POTION_CLEANSE
iron campaign chest: bridgewatch	UNIQUE_LOOTCHEST_FACTIONCAMPAIGN_REWARD_STEPPE_01
