# normalized display name	exact unenchanted UniqueName
# entries=1653
acid potion	T5_POTION_ACID
grandmaster's caerleon crest	T7_CAPEITEM_FW_CAERLEON_BP
grandmaster's caitiff shield	T7_OFF_SHIELD_HELL
grandmaster's camlann mace	T7_2H_MACE_MORGANA
grandmaster's cape	T7_CAPE
grandmaster's carrioncaller	T7_2H_HALBERD_MORGANA
grandmaster's carving sword	T7_2H_CLEAVER_HELL
grandmaster's celestial censer	T7_OFF_CENSER_AVALON
grandmaster's chillhowl	T7_MAIN_FROSTSTAFF_AVALON
grandmaster's clarent blade	T7_MAIN_SCIMITAR_MORGANA
grandmaster's claws	T7_2H_CLAWPAIR
grandmaster's claymore	T7_2H_CLAYMORE
grandmaster's cleric cowl	T7_HEAD_CLOTH_SET2
grandmaster's cleric robe	T7_ARMOR_CLOTH_SET2
grandmaster's cleric sandals	T7_SHOES_CLOTH_SET2
grandmaster's cowl of purity	T7_HEAD_CLOTH_AVALON
grandmaster's crossbow	T7_2H_CROSSBOW
grandmaster's cryptcandle	T7_OFF_LAMP_UNDEAD
grandmaster's crystal reaper	T7_2H_SCYTHE_CRYSTAL
grandmaster's cultist cowl	T7_HEAD_CLOTH_MORGANA
grandmaster's cultist robe	T7_ARMOR_CLOTH_MORGANA
grandmaster's cultist sandals	T7_SHOES_CLOTH_MORGANA
grandmaster's cursed skull	T7_2H_SKULLORB_HELL
grandmaster's cursed staff	T7_MAIN_CURSEDSTAFF
grandmaster's dagger	T7_MAIN_DAGGER
grandmaster's dagger pair	T7_2H_DAGGERPAIR
grandmaster's damnation staff	T7_2H_CURSEDSTAFF_MORGANA
grandmaster's dawnsong	T7_2H_FIRE_RINGPAIR_AVALON
grandmaster's daybreaker	T7_MAIN_SPEAR_LANCE_AVALON
grandmaster's deathgivers	T7_2H_DUALSICKLE_UNDEAD
grandmaster's demon armor	T7_ARMOR_PLATE_HELL
grandmaster's demon boots	T7_SHOES_PLATE_HELL
grandmaster's demon cape	T7_CAPEITEM_DEMON
grandmaster's demon crest	T7_CAPEITEM_DEMON_BP
grandmaster's demon helmet	T7_HEAD_PLATE_HELL
grandmaster's demonfang	T7_MAIN_DAGGER_HELL
grandmaster's demonic staff	T7_2H_DEMONICSTAFF
grandmaster's divine staff	T7_2H_DIVINESTAFF
grandmaster's double bladed staff	T7_2H_DOUBLEBLADEDSTAFF
grandmaster's dreadstorm monarch	T7_MAIN_MACE_CRYSTAL
grandmaster's druid cowl	T7_HEAD_CLOTH_KEEPER
grandmaster's druid robe	T7_ARMOR_CLOTH_KEEPER
grandmaster's druid sandals	T7_SHOES_CLOTH_KEEPER
grandmaster's druidic staff	T7_MAIN_NATURESTAFF_KEEPER
grandmaster's dual swords	T7_2H_DUALSWORD
grandmaster's duskweaver armor	T7_ARMOR_PLATE_FEY
grandmaster's duskweaver boots	T7_SHOES_PLATE_FEY
grandmaster's duskweaver helmet	T7_HEAD_PLATE_FEY
grandmaster's earthrune staff	T7_2H_SHAPESHIFTER_KEEPER
grandmaster's energy shaper	T7_2H_CROSSBOW_CANNON_AVALON
grandmaster's enigmatic staff	T7_2H_ENIGMATICSTAFF
grandmaster's evensong	T7_2H_ARCANE_RINGPAIR_AVALON
grandmaster's exalted staff	T7_2H_HOLYSTAFF_CRYSTAL
grandmaster's eye of secrets	T7_OFF_ORB_MORGANA
grandmaster's facebreaker	T7_OFF_SPIKEDSHIELD_MORGANA
grandmaster's fallen staff	T7_2H_HOLYSTAFF_HELL
grandmaster's feyscale hat	T7_HEAD_CLOTH_FEY
grandmaster's feyscale robe	T7_ARMOR_CLOTH_FEY
grandmaster's feyscale sandals	T7_SHOES_CLOTH_FEY
grandmaster's fiend cowl	T7_HEAD_CLOTH_HELL
grandmaster's fiend robe	T7_ARMOR_CLOTH_HELL
grandmaster's fiend sandals	T7_SHOES_CLOTH_HELL
grandmaster's fire staff	T7_MAIN_FIRESTAFF
grandmaster's fisherman cap	T7_HEAD_GATHERER_FISH
grandmaster's fisherman garb	T7_ARMOR_GATHERER_FISH
grandmaster's fisherman workboots	T7_SHOES_GATHERER_FISH
grandmaster's fishing rod	T7_2H_TOOL_FISHINGROD
grandmaster's fists of avalon	T7_2H_KNUCKLES_AVALON
grandmaster's flamewalker staff	T7_MAIN_FIRESTAFF_CRYSTAL
grandmaster's forcepulse bracers	T7_2H_KNUCKLES_CRYSTAL
grandmaster's forge hammers	T7_2H_DUALHAMMER_HELL
grandmaster's forgebark staff	T7_MAIN_NATURESTAFF_CRYSTAL
grandmaster's fort sterling cape	T7_CAPEITEM_FW_FORTSTERLING
grandmaster's fort sterling crest	T7_CAPEITEM_FW_FORTSTERLING_BP
grandmaster's frost staff	T7_MAIN_FROSTSTAFF
grandmaster's galatine pair	T7_2H_DUALSCIMITAR_UNDEAD
grandmaster's glacial staff	T7_2H_GLACIALSTAFF
grandmaster's glaive	T7_2H_GLAIVE
grandmaster's grailseeker	T7_2H_QUARTERSTAFF_AVALON
grandmaster's graveguard armor	T7_ARMOR_PLATE_UNDEAD
grandmaster's graveguard boots	T7_SHOES_PLATE_UNDEAD
grandmaster's graveguard helmet	T7_HEAD_PLATE_UNDEAD
grandmaster's great arcane staff	T7_2H_ARCANESTAFF
grandmaster's great cursed staff	T7_2H_CURSEDSTAFF
grandmaster's great fire staff	T7_2H_FIRESTAFF
grandmaster's great frost staff	T7_2H_FROSTSTAFF
grandmaster's great hammer	T7_2H_HAMMER
grandmaster's great holy staff	T7_2H_HOLYSTAFF
grandmaster's great nature staff	T7_2H_NATURESTAFF
grandmaster's greataxe	T7_2H_AXE
grandmaster's grovekeeper	T7_2H_RAM_KEEPER
grandmaster's guardian armor	T7_ARMOR_PLATE_SET3
grandmaster's guardian boots	T7_SHOES_PLATE_SET3
grandmaster's guardian helmet	T7_HEAD_PLATE_SET3
grandmaster's halberd	T7_2H_HALBERD
grandmaster's hallowfall	T7_MAIN_HOLYSTAFF_AVALON
grandmaster's hammer	T7_MAIN_HAMMER
grandmaster's hand of justice	T7_2H_HAMMER_AVALON
grandmaster's harvester cap	T7_HEAD_GATHERER_FIBER
grandmaster's harvester garb	T7_ARMOR_GATHERER_FIBER
grandmaster's harvester workboots	T7_SHOES_GATHERER_FIBER
grandmaster's heavy crossbow	T7_2H_CROSSBOWLARGE
grandmaster's heavy mace	T7_2H_MACE
grandmaster's hellfire hands	T7_2H_KNUCKLES_HELL
grandmaster's hellion hood	T7_HEAD_LEATHER_HELL
grandmaster's hellion jacket	T7_ARMOR_LEATHER_HELL
grandmaster's hellion shoes	T7_SHOES_LEATHER_HELL
grandmaster's hellspawn staff	T7_2H_SHAPESHIFTER_HELL
grandmaster's helmet of valor	T7_HEAD_PLATE_AVALON
grandmaster's heretic cape	T7_CAPEITEM_HERETIC
grandmaster's heretic crest	T7_CAPEITEM_HERETIC_BP
grandmaster's heron spear	T7_MAIN_SPEAR_KEEPER
grandmaster's hoarfrost staff	T7_MAIN_FROSTSTAFF_KEEPER
grandmaster's holy staff	T7_MAIN_HOLYSTAFF
grandmaster's hood of tenacity	T7_HEAD_LEATHER_AVALON
grandmaster's hunter hood	T7_HEAD_LEATHER_SET2
grandmaster's hunter jacket	T7_ARMOR_LEATHER_SET2
grandmaster's hunter shoes	T7_SHOES_LEATHER_SET2
grandmaster's icicle staff	T7_2H_ICEGAUNTLETS_HELL
grandmaster's incubus mace	T7_MAIN_MACE_HELL
grandmaster's infernal scythe	T7_2H_SCYTHE_HELL
grandmaster's infernal staff	T7_2H_INFERNOSTAFF
grandmaster's infinity blade	T7_MAIN_SWORD_CRYSTAL
grandmaster's iron-clad staff	T7_2H_IRONCLADEDSTAFF
grandmaster's ironroot staff	T7_MAIN_NATURESTAFF_AVALON
grandmaster's jacket of tenacity	T7_ARMOR_LEATHER_AVALON
grandmaster's judicator armor	T7_ARMOR_PLATE_KEEPER
grandmaster's judicator boots	T7_SHOES_PLATE_KEEPER
grandmaster's judicator helmet	T7_HEAD_PLATE_KEEPER
grandmaster's keeper cape	T7_CAPEITEM_KEEPER
grandmaster's keeper crest	T7_CAPEITEM_KEEPER_BP
grandmaster's kingmaker	T7_2H_CLAYMORE_AVALON
grandmaster's knight armor	T7_ARMOR_PLATE_SET2
grandmaster's knight boots	T7_SHOES_PLATE_SET2
grandmaster's knight helmet	T7_HEAD_PLATE_SET2
grandmaster's leering cane	T7_OFF_JESTERCANE_HELL
grandmaster's lifecurse staff	T7_MAIN_CURSEDSTAFF_UNDEAD
grandmaster's lifetouch staff	T7_MAIN_HOLYSTAFF_MORGANA
grandmaster's light crossbow	T7_MAIN_1HCROSSBOW
grandmaster's lightcaller	T7_2H_SHAPESHIFTER_AVALON
grandmaster's longbow	T7_2H_LONGBOW
grandmaster's lumberjack cap	T7_HEAD_GATHERER_WOOD
grandmaster's lumberjack garb	T7_ARMOR_GATHERER_WOOD
grandmaster's lumberjack workboots	T7_SHOES_GATHERER_WOOD
grandmaster's lymhurst cape	T7_CAPEITEM_FW_LYMHURST
grandmaster's lymhurst crest	T7_CAPEITEM_FW_LYMHURST_BP
grandmaster's mace	T7_MAIN_MACE
grandmaster's mage cowl	T7_HEAD_CLOTH_SET3
grandmaster's mage robe	T7_ARMOR_CLOTH_SET3
grandmaster's mage sandals	T7_SHOES_CLOTH_SET3
grandmaster's malevolent locus	T7_2H_ENIGMATICORB_MORGANA
grandmaster's martlock cape	T7_CAPEITEM_FW_MARTLOCK
grandmaster's martlock crest	T7_CAPEITEM_FW_MARTLOCK_BP
grandmaster's mercenary hood	T7_HEAD_LEATHER_SET1
grandmaster's mercenary jacket	T7_ARMOR_LEATHER_SET1
grandmaster's mercenary shoes	T7_SHOES_LEATHER_SET1
grandmaster's miner cap	T7_HEAD_GATHERER_ORE
grandmaster's miner garb	T7_ARMOR_GATHERER_ORE
grandmaster's miner workboots	T7_SHOES_GATHERER_ORE
grandmaster's mistcaller	T7_OFF_HORN_KEEPER
grandmaster's mistpiercer	T7_2H_BOW_AVALON
grandmaster's mistwalker hood	T7_HEAD_LEATHER_FEY
grandmaster's mistwalker jacket	T7_ARMOR_LEATHER_FEY
grandmaster's mistwalker shoes	T7_SHOES_LEATHER_FEY
grandmaster's morgana cape	T7_CAPEITEM_MORGANA
grandmaster's morgana crest	T7_CAPEITEM_MORGANA_BP
grandmaster's morning star	T7_2H_FLAIL
grandmaster's muisak	T7_OFF_DEMONSKULL_HELL
grandmaster's nature staff	T7_MAIN_NATURESTAFF
grandmaster's oathkeepers	T7_2H_DUALMACE_AVALON
grandmaster's occult staff	T7_2H_ARCANESTAFF_HELL
grandmaster's permafrost prism	T7_2H_ICECRYSTAL_UNDEAD
grandmaster's phantom twinblade	T7_2H_DOUBLEBLADEDSTAFF_CRYSTAL
grandmaster's pickaxe	T7_2H_TOOL_PICK
grandmaster's pike	T7_2H_SPEAR
grandmaster's polehammer	T7_2H_POLEHAMMER
grandmaster's primal staff	T7_2H_SHAPESHIFTER_SET3
grandmaster's prowling staff	T7_2H_SHAPESHIFTER_SET1
grandmaster's quarrier cap	T7_HEAD_GATHERER_ROCK
grandmaster's quarrier garb	T7_ARMOR_GATHERER_ROCK
grandmaster's quarrier workboots	T7_SHOES_GATHERER_ROCK
grandmaster's quarterstaff	T7_2H_QUARTERSTAFF
grandmaster's rampant staff	T7_2H_NATURESTAFF_KEEPER
grandmaster's ravenstrike cestus	T7_2H_KNUCKLES_MORGANA
grandmaster's realmbreaker	T7_2H_AXE_AVALON
grandmaster's redemption staff	T7_2H_HOLYSTAFF_UNDEAD
grandmaster's rift glaive	T7_2H_GLAIVE_CRYSTAL
grandmaster's robe of purity	T7_ARMOR_CLOTH_AVALON
grandmaster's rootbound staff	T7_2H_SHAPESHIFTER_SET2
grandmaster's rotcaller staff	T7_MAIN_CURSEDSTAFF_CRYSTAL
grandmaster's royal armor	T7_ARMOR_PLATE_ROYAL
grandmaster's royal boots	T7_SHOES_PLATE_ROYAL
grandmaster's royal cowl	T7_HEAD_CLOTH_ROYAL
grandmaster's royal helmet	T7_HEAD_PLATE_ROYAL
grandmaster's royal hood	T7_HEAD_LEATHER_ROYAL
grandmaster's royal jacket	T7_ARMOR_LEATHER_ROYAL
grandmaster's royal robe	T7_ARMOR_CLOTH_ROYAL
grandmaster's royal sandals	T7_SHOES_CLOTH_ROYAL
grandmaster's royal shoes	T7_SHOES_LEATHER_ROYAL
grandmaster's sacred scepter	T7_OFF_TALISMAN_AVALON
grandmaster's sandals of purity	T7_SHOES_CLOTH_AVALON
grandmaster's sarcophagus	T7_OFF_TOWERSHIELD_UNDEAD
grandmaster's satchel of insight	T7_BAG_INSIGHT
grandmaster's scholar cowl	T7_HEAD_CLOTH_SET1
grandmaster's scholar robe	T7_ARMOR_CLOTH_SET1
grandmaster's scholar sandals	T7_SHOES_CLOTH_SET1
grandmaster's shadowcaller	T7_MAIN_CURSEDSTAFF_AVALON
grandmaster's shield	T7_OFF_SHIELD
grandmaster's shoes of tenacity	T7_SHOES_LEATHER_AVALON
grandmaster's sickle	T7_2H_TOOL_SICKLE
grandmaster's siege hammer	T7_2H_TOOL_SIEGEHAMMER
grandmaster's siegebow	T7_2H_CROSSBOWLARGE_MORGANA
grandmaster's skinner cap	T7_HEAD_GATHERER_HIDE
grandmaster's skinner garb	T7_ARMOR_GATHERER_HIDE
grandmaster's skinner workboots	T7_SHOES_GATHERER_HIDE
grandmaster's skinning knife	T7_2H_TOOL_KNIFE
grandmaster's skystrider bow	T7_2H_BOW_CRYSTAL
grandmaster's smuggler cape	T7_CAPEITEM_SMUGGLER
grandmaster's smuggler crest	T7_CAPEITEM_SMUGGLER_BP
grandmaster's soldier armor	T7_ARMOR_PLATE_SET1
grandmaster's soldier boots	T7_SHOES_PLATE_SET1
grandmaster's soldier helmet	T7_HEAD_PLATE_SET1
grandmaster's soulscythe	T7_2H_TWINSCYTHE_HELL
grandmaster's spear	T7_MAIN_SPEAR
grandmaster's specter hood	T7_HEAD_LEATHER_UNDEAD
grandmaster's specter jacket	T7_ARMOR_LEATHER_UNDEAD
grandmaster's specter shoes	T7_SHOES_LEATHER_UNDEAD
grandmaster's spiked gauntlets	T7_2H_KNUCKLES_SET3
grandmaster's spirithunter	T7_2H_HARPOON_HELL
grandmaster's staff of balance	T7_2H_ROCKSTAFF_KEEPER
grandmaster's stalker hood	T7_HEAD_LEATHER_MORGANA
grandmaster's stalker jacket	T7_ARMOR_LEATHER_MORGANA
grandmaster's stalker shoes	T7_SHOES_LEATHER_MORGANA
grandmaster's stillgaze staff	T7_2H_SHAPESHIFTER_CRYSTAL
grandmaster's stone hammer	T7_2H_TOOL_HAMMER
grandmaster's taproot	T7_OFF_TOTEM_KEEPER
grandmaster's thetford cape	T7_CAPEITEM_FW_THETFORD
grandmaster's thetford crest	T7_CAPEITEM_FW_THETFORD_BP
grandmaster's timelocked grimoire	T7_OFF_TOME_CRYSTAL
grandmaster's tombhammer	T7_2H_HAMMER_UNDEAD
grandmaster's tome of spells	T7_OFF_BOOK
grandmaster's torch	T7_OFF_TORCH
grandmaster's tracking toolkit	T7_2H_TOOL_TRACKING
grandmaster's trinity spear	T7_2H_TRIDENT_UNDEAD
grandmaster's truebolt hammer	T7_2H_HAMMER_CRYSTAL
grandmaster's twin slayers	T7_2H_DAGGERPAIR_CRYSTAL
grandmaster's unbreakable ward	T7_OFF_SHIELD_CRYSTAL
grandmaster's undead cape	T7_CAPEITEM_UNDEAD
grandmaster's undead crest	T7_CAPEITEM_UNDEAD_BP
grandmaster's ursine maulers	T7_2H_KNUCKLES_KEEPER
grandmaster's wailing bow	T7_2H_BOW_HELL
grandmaster's warbow	T7_2H_WARBOW
grandmaster's weeping repeater	T7_2H_REPEATINGCROSSBOW_UNDEAD
grandmaster's whispering bow	T7_2H_LONGBOW_UNDEAD
grandmaster's wild staff	T7_2H_WILDSTAFF
grandmaster's wildfire staff	T7_MAIN_FIRESTAFF_KEEPER
grandmaster's witchwork staff	T7_MAIN_ARCANESTAFF_UNDEAD
greenriver eel stew	T4_MEAL_STEW_FISH
healing potion	T4_POTION_HEAL
hellfire potion	T6_POTION_LAVA
invisibility potion	T8_POTION_CLEANSE
journeyman's arcane staff	T3_MAIN_ARCANESTAFF
journeyman's axe	T3_2H_TOOL_AXE
journeyman's bag	T3_BAG
journeyman's battleaxe	T3_MAIN_AXE
journeyman's bow	T3_2H_BOW
journeyman's brawler gloves	T3_2H_KNUCKLES_SET1
journeyman's broadsword	T3_MAIN_SWORD
journeyman's cape	T3_CAPE
journeyman's crossbow	T3_2H_CROSSBOW
journeyman's cursed staff	T3_MAIN_CURSEDSTAFF
journeyman's dagger	T3_MAIN_DAGGER
journeyman's fire staff	T3_MAIN_FIRESTAFF
journeyman's fishing rod	T3_2H_TOOL_FISHINGROD
journeyman's frost staff	T3_MAIN_FROSTSTAFF
journeyman's hammer	T3_MAIN_HAMMER
journeyman's holy staff	T3_MAIN_HOLYSTAFF
journeyman's mace	T3_MAIN_MACE
journeyman's mercenary hood	T3_HEAD_LEATHER_SET1
journeyman's mercenary jacket	T3_ARMOR_LEATHER_SET1
journeyman's mercenary shoes	T3_SHOES_LEATHER_SET1
journeyman's nature staff	T3_MAIN_NATURESTAFF
journeyman's pickaxe	T3_2H_TOOL_PICK
journeyman's prowling staff	T3_2H_SHAPESHIFTER_SET1
journeyman's quarterstaff	T3_2H_QUARTERSTAFF
journeyman's scholar cowl	T3_HEAD_CLOTH_SET1
journeyman's scholar robe	T3_ARMOR_CLOTH_SET1
journeyman's scholar sandals	T3_SHOES_CLOTH_SET1
journeyman's shield	T3_OFF_SHIELD
journeyman's sickle	T3_2H_TOOL_SICKLE
journeyman's siege hammer	T3_2H_TOOL_SIEGEHAMMER
journeyman's skinning knife	T3_2H_TOOL_KNIFE
journeyman's soldier armor	T3_ARMOR_PLATE_SET1
journeyman's soldier boots	T3_SHOES_PLATE_SET1
journeyman's soldier helmet	T3_HEAD_PLATE_SET1
journeyman's spear	T3_MAIN_SPEAR
journeyman's stone hammer	T3_2H_TOOL_HAMMER
journeyman's tome of spells	T3_OFF_BOOK
journeyman's torch	T3_OFF_TORCH
journeyman's tracking toolkit	T3_2H_TOOL_TRACKING
lowriver crab omelette	T3_MEAL_OMELETTE_FISH
major acid potion	T7_POTION_ACID
major berserk potion	T8_POTION_BERSERK
major calming potion	T7_POTION_MOB_RESET
major cleansing potion	T7_POTION_CLEANSE2
major energy potion	T6_POTION_ENERGY
major gathering potion	T8_POTION_GATHER
major gigantify potion	T7_POTION_REVIVE
major healing potion	T6_POTION_HEAL
major hellfire potion	T8_POTION_LAVA
major poison potion	T8_POTION_COOLDOWN
major resistance potion	T7_POTION_STONESKIN
major sticky potion	T7_POTION_SLOWFIELD
major tornado in a bottle	T8_POTION_TORNADO
master's arcane staff	T6_MAIN_ARCANESTAFF
master's arclight blasters	T6_2H_DUALCROSSBOW_CRYSTAL
master's arctic staff	T6_2H_FROSTSTAFF_CRYSTAL
master's armor of valor	T6_ARMOR_PLATE_AVALON
master's assassin hood	T6_HEAD_LEATHER_SET3
master's assassin jacket	T6_ARMOR_LEATHER_SET3
master's assassin shoes	T6_SHOES_LEATHER_SET3
master's astral aegis	T6_OFF_SHIELD_AVALON
master's astral staff	T6_2H_ARCANESTAFF_CRYSTAL
master's avalonian axe	T6_2H_TOOL_AXE_AVALON
master's avalonian cape	T6_CAPEITEM_AVALON
master's avalonian crest	T6_CAPEITEM_AVALON_BP
master's avalonian fishing rod	T6_2H_TOOL_FISHINGROD_AVALON
master's avalonian pickaxe	T6_2H_TOOL_PICK_AVALON
master's avalonian sickle	T6_2H_TOOL_SICKLE_AVALON
master's avalonian siege hammer	T6_2H_TOOL_SIEGEHAMMER_AVALON
master's avalonian skinning knife	T6_2H_TOOL_KNIFE_AVALON
master's avalonian stone hammer	T6_2H_TOOL_HAMMER_AVALON
master's axe	T6_2H_TOOL_AXE
master's bag	T6_BAG
master's battle bracers	T6_2H_KNUCKLES_SET2
master's battleaxe	T6_MAIN_AXE
master's bear paws	T6_2H_DUALAXE_KEEPER
master's bedrock mace	T6_MAIN_ROCKMACE_KEEPER
master's black hands	T6_2H_IRONGAUNTLETS_HELL
master's black monk staff	T6_2H_COMBATSTAFF_MORGANA
master's blazing staff	T6_2H_INFERNOSTAFF_MORGANA
master's blight staff	T6_2H_NATURESTAFF_HELL
master's bloodletter	T6_MAIN_RAPIER_MORGANA
master's bloodmoon staff	T6_2H_SHAPESHIFTER_MORGANA
master's blueflame torch	T6_OFF_TORCH_CRYSTAL
master's boltcasters	T6_2H_DUALCROSSBOW_HELL
master's boots of valor	T6_SHOES_PLATE_AVALON
master's bow	T6_2H_BOW
master's bow of badon	T6_2H_BOW_KEEPER
master's brawler gloves	T6_2H_KNUCKLES_SET1
master's brecilien cape	T6_CAPEITEM_FW_BRECILIEN
master's brecilien crest	T6_CAPEITEM_FW_BRECILIEN_BP
master's bridgewatch cape	T6_CAPEITEM_FW_BRIDGEWATCH
master's bridgewatch crest	T6_CAPEITEM_FW_BRIDGEWATCH_BP
master's bridled fury	T6_2H_DAGGER_KATAR_AVALON
master's brimstone staff	T6_2H_FIRESTAFF_HELL
master's broadsword	T6_MAIN_SWORD
master's caerleon cape	T6_CAPEITEM_FW_CAERLEON
master's caerleon crest	T6_CAPEITEM_FW_CAERLEON_BP
master's caitiff shield	T6_OFF_SHIELD_HELL
master's camlann mace	T6_2H_MACE_MORGANA
master's cape	T6_CAPE
master's carrioncaller	T6_2H_HALBERD_MORGANA
master's carving sword	T6_2H_CLEAVER_HELL
master's celestial censer	T6_OFF_CENSER_AVALON
master's chillhowl	T6_MAIN_FROSTSTAFF_AVALON
master's clarent blade	T6_MAIN_SCIMITAR_MORGANA
master's claws	T6_2H_CLAWPAIR
master's claymore	T6_2H_CLAYMORE
master's cleric cowl	T6_HEAD_CLOTH_SET2
master's cleric robe	T6_ARMOR_CLOTH_SET2
master's cleric sandals	T6_SHOES_CLOTH_SET2
master's cowl of purity	T6_HEAD_CLOTH_AVALON
master's crossbow	T6_2H_CROSSBOW
master's cryptcandle	T6_OFF_LAMP_UNDEAD
master's crystal reaper	T6_2H_SCYTHE_CRYSTAL
master's cultist cowl	T6_HEAD_CLOTH_MORGANA
master's cultist robe	T6_ARMOR_CLOTH_MORGANA
master's cultist sandals	T6_SHOES_CLOTH_MORGANA
master's cursed skull	T6_2H_SKULLORB_HELL
master's cursed staff	T6_MAIN_CURSEDSTAFF
master's dagger	T6_MAIN_DAGGER
master's dagger pair	T6_2H_DAGGERPAIR
master's damnation staff	T6_2H_CURSEDSTAFF_MORGANA
master's dawnsong	T6_2H_FIRE_RINGPAIR_AVALON
master's daybreaker	T6_MAIN_SPEAR_LANCE_AVALON
master's deathgivers	T6_2H_DUALSICKLE_UNDEAD
master's demon armor	T6_ARMOR_PLATE_HELL
master's demon boots	T6_SHOES_PLATE_HELL
master's demon cape	T6_CAPEITEM_DEMON
master's demon crest	T6_CAPEITEM_DEMON_BP
master's demon helmet	T6_HEAD_PLATE_HELL
master's demonfang	T6_MAIN_DAGGER_HELL
master's demonic staff	T6_2H_DEMONICSTAFF
master's divine staff	T6_2H_DIVINESTAFF
master's double bladed staff	T6_2H_DOUBLEBLADEDSTAFF
master's dreadstorm monarch	T6_MAIN_MACE_CRYSTAL
master's druid cowl	T6_HEAD_CLOTH_KEEPER
master's druid robe	T6_ARMOR_CLOTH_KEEPER
master's druid sandals	T6_SHOES_CLOTH_KEEPER
master's druidic staff	T6_MAIN_NATURESTAFF_KEEPER
master's dual swords	T6_2H_DUALSWORD
master's duskweaver armor	T6_ARMOR_PLATE_FEY
master's duskweaver boots	T6_SHOES_PLATE_FEY
master's duskweaver helmet	T6_HEAD_PLATE_FEY
master's earthrune staff	T6_2H_SHAPESHIFTER_KEEPER
master's energy shaper	T6_2H_CROSSBOW_CANNON_AVALON
master's enigmatic staff	T6_2H_ENIGMATICSTAFF
master's evensong	T6_2H_ARCANE_RINGPAIR_AVALON
master's exalted staff	T6_2H_HOLYSTAFF_CRYSTAL
master's eye of secrets	T6_OFF_ORB_MORGANA
master's facebreaker	T6_OFF_SPIKEDSHIELD_MORGANA
master's fallen staff	T6_2H_HOLYSTAFF_HELL
master's feyscale hat	T6_HEAD_CLOTH_FEY
master's feyscale robe	T6_ARMOR_CLOTH_FEY
master's feyscale sandals	T6_SHOES_CLOTH_FEY
master's fiend cowl	T6_HEAD_CLOTH_HELL
master's fiend robe	T6_ARMOR_CLOTH_HELL
master's fiend sandals	T6_SHOES_CLOTH_HELL
master's fire staff	T6_MAIN_FIRESTAFF
master's fisherman cap	T6_HEAD_GATHERER_FISH
master's fisherman garb	T6_ARMOR_GATHERER_FISH
master's fisherman workboots	T6_SHOES_GATHERER_FISH
master's fishing rod	T6_2H_TOOL_FISHINGROD
master's fists of avalon	T6_2H_KNUCKLES_AVALON
master's flamewalker staff	T6_MAIN_FIRESTAFF_CRYSTAL
master's forcepulse bracers	T6_2H_KNUCKLES_CRYSTAL
master's forge hammers	T6_2H_DUALHAMMER_HELL
master's forgebark staff	T6_MAIN_NATURESTAFF_CRYSTAL
master's fort sterling cape	T6_CAPEITEM_FW_FORTSTERLING
master's fort sterling crest	T6_CAPEITEM_FW_FORTSTERLING_BP
master's frost staff	T6_MAIN_FROSTSTAFF
master's galatine pair	T6_2H_DUALSCIMITAR_UNDEAD
master's glacial staff	T6_2H_GLACIALSTAFF
master's glaive	T6_2H_GLAIVE
master's grailseeker	T6_2H_QUARTERSTAFF_AVALON
master's graveguard armor	T6_ARMOR_PLATE_UNDEAD
master's graveguard boots	T6_SHOES_PLATE_UNDEAD
master's graveguard helmet	T6_HEAD_PLATE_UNDEAD
master's great arcane staff	T6_2H_ARCANESTAFF
master's great cursed staff	T6_2H_CURSEDSTAFF
master's great fire staff	T6_2H_FIRESTAFF
master's great frost staff	T6_2H_FROSTSTAFF
master's great hammer	T6_2H_HAMMER
master's great holy staff	T6_2H_HOLYSTAFF
master's great nature staff	T6_2H_NATURESTAFF
master's greataxe	T6_2H_AXE
master's grovekeeper	T6_2H_RAM_KEEPER
master's guardian armor	T6_ARMOR_PLATE_SET3
master's guardian boots	T6_SHOES_PLATE_SET3
master's guardian helmet	T6_HEAD_PLATE_SET3
master's halberd	T6_2H_HALBERD
master's hallowfall	T6_MAIN_HOLYSTAFF_AVALON
master's hammer	T6_MAIN_HAMMER
master's hand of justice	T6_2H_HAMMER_AVALON
master's harvester cap	T6_HEAD_GATHERER_FIBER
master's harvester garb	T6_ARMOR_GATHERER_FIBER
master's harvester workboots	T6_SHOES_GATHERER_FIBER
master's heavy crossbow	T6_2H_CROSSBOWLARGE
master's heavy mace	T6_2H_MACE
master's hellfire hands	T6_2H_KNUCKLES_HELL
master's hellion hood	T6_HEAD_LEATHER_HELL
master's hellion jacket	T6_ARMOR_LEATHER_HELL
master's hellion shoes	T6_SHOES_LEATHER_HELL
master's hellspawn staff	T6_2H_SHAPESHIFTER_HELL
master's helmet of valor	T6_HEAD_PLATE_AVALON
master's heretic cape	T6_CAPEITEM_HERETIC
master's heretic crest	T6_CAPEITEM_HERETIC_BP
master's heron spear	T6_MAIN_SPEAR_KEEPER
master's hoarfrost staff	T6_MAIN_FROSTSTAFF_KEEPER
master's holy staff	T6_MAIN_HOLYSTAFF
master's hood of tenacity	T6_HEAD_LEATHER_AVALON
master's hunter hood	T6_HEAD_LEATHER_SET2
master's hunter jacket	T6_ARMOR_LEATHER_SET2
master's hunter shoes	T6_SHOES_LEATHER_SET2
master's icicle staff	T6_2H_ICEGAUNTLETS_HELL
master's incubus mace	T6_MAIN_MACE_HELL
master's infernal scythe	T6_2H_SCYTHE_HELL
master's infernal staff	T6_2H_INFERNOSTAFF
